,experiment_id,methodological_detail_id,qualitative_outcome,disease_id,meddra_level,meddra_id,location_id,disease_name,organism_id,organism_name,organism_ncbi_id,subject_value,control_value,ratio,method_name,sample_name,host_type,host_id,publication_id,control_name,response_name,response_unit
168,169,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,121,Corynebacterium jeikeium,38289,,,-2124,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
167,168,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,120,Sphingopyxis flavimaris,266812,,,-2039,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
166,167,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,119,Symbiobacterium toebii,120580,,,-1942,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
165,166,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,118,Mitrastema yamamotoi,51498,,,-1634,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
164,165,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,22,Bifidobacterium adolescentis,1680,,,-1339,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
163,164,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,117,Bifidobacterium thermacidophilum porcinum,212365,,,-1219,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
162,163,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,116,Nodularia sphaerocarpa,137816,,,-1166,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
161,162,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,115,Hymenobacter,89966,,,-1066,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
160,161,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,114,Sphingobacterium,341027,,,-1040,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
159,160,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,113,Thiomicrospira crunogena,39765,,,-989,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
158,159,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,112,Thermosipho,2420,,,-929,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
157,158,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,111,Bifidobacterium breve,1685,,,-864,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
156,157,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,110,Clostridium acetobutylicum,1488,,,-854,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
155,156,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,109,Dietzia maris,37915,,,-770,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
154,155,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,108,Fucophilus fucoidanolyticus,177412,,,-748,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
153,154,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,107,Calyptogena magnifica,6591,,,-511,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
152,153,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,106,Nitrosomonas eutropha,916,,,-430,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
151,152,,Reduced,14,preferred_term,10011762,10,Cystic Fibrosis,105,Lyrodus pedicellatus,457830,,,-385,Phylogenetic microarray,Faeces,Human,17,17,Healthy control,Fluorescence intensity,Fluorescence intensity
2956,3229,,Reduced,179,preferred_term,10036556,32,Pregnancy,790,Anaerococcus vaginalis,33037,,,-355.4,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
2957,3230,,Reduced,179,preferred_term,10036556,32,Pregnancy,465,Peptoniphilus,162289,,,-137.1,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
2958,3231,,Reduced,179,preferred_term,10036556,32,Pregnancy,27,Streptococcus anginosus,1328,,,-102.4,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
2959,3232,,Reduced,179,preferred_term,10036556,32,Pregnancy,628,"Actinomycetales	",2037,,,-94.2,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
2960,3233,,Reduced,179,preferred_term,10036556,32,Pregnancy,455,Leptotrichia amnionii,187101,,,-89.1,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
2969,3242,,Reduced,179,preferred_term,10036556,32,Pregnancy,23,Parvimonas micra,33033,,,-66.8,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
2961,3234,,Reduced,179,preferred_term,10036556,32,Pregnancy,791,Finegoldia magna,1260,,,-65,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
339,348,,Reduced,26,preferred_term,10008874,10,Chronic fatigue syndrome,129,Holdemania,61170,,,-50,16S rRNA sequencing,Faeces,Human,42,41,Healthy control,,
2962,3235,,Reduced,179,preferred_term,10036556,32,Pregnancy,44,Prevotella,59823,,,-48,16S rRNA sequencing,Vaginal fluid,Human,469,411,Non-pregnant women,Fold change,
230,232,,Reduced,1,preferred_term,10080683,10,Autism,43,Bifidobacterium,41200,,,-44,Cell culture,Faeces,Human,25,24,Healthy control,% Difference,% Difference
7595,8008,341,Reduced,28,preferred_term,10012271,42,Alzheimer's Disease,1348,Aliihoeflea,610116,,,-37.1,16S rRNA sequencing,Blood,Human,971,854,Healthy control,B-value,
226,228,,Reduced,23,preferred_term,10021972,18,Inflammatory Bowel Disease,163,Bacteroides thetaiotaomicron,818,,,-32.5,16S rRNA sequencing,Tissue biopsie,Human,24,23,Healthy control,% (prevalence),% (prevalence)
399,411,,Reduced,28,preferred_term,10012271,10,Alzheimer's Disease,240,Bacteroides fragilis,817,,,-24.5,qPCR,Faeces,Human,50,49,Healthy control,Fold change,Fold change
3097,3372,,Reduced,185,preferred_term,10037841,60,Idiopathic REM Sleep Behavior Disorder,818,Desulfovibrionaceae,194924,,,-23.3,16S rRNA sequencing,Nasal lavage,Human,486,427,Healthy control,log2 fold change,
