,Unnamed: 0,experiment_id,methodological_detail_id,qualitative_outcome,disease_id,meddra_level,meddra_id,location_id,disease_name,organism_id,organism_name,organism_ncbi_id,subject_value,control_value,ratio,method_name,sample_name,host_type,host_id,publication_id,control_name,response_name,response_unit
0,168,169,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,121,Corynebacterium jeikeium,38289.0,,,-2124.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
1,167,168,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,120,Sphingopyxis flavimaris,266812.0,,,-2039.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
2,166,167,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,119,Symbiobacterium toebii,120580.0,,,-1942.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
3,165,166,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,118,Mitrastema yamamotoi,51498.0,,,-1634.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
4,164,165,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,22,Bifidobacterium adolescentis,1680.0,,,-1339.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
5,163,164,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,117,Bifidobacterium thermacidophilum porcinum,212365.0,,,-1219.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
6,162,163,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,116,Nodularia sphaerocarpa,137816.0,,,-1166.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
7,161,162,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,115,Hymenobacter,89966.0,,,-1066.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
8,160,161,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,114,Sphingobacterium,341027.0,,,-1040.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
9,159,160,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,113,Thiomicrospira crunogena,39765.0,,,-989.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
10,158,159,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,112,Thermosipho,2420.0,,,-929.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
11,157,158,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,111,Bifidobacterium breve,1685.0,,,-864.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
12,156,157,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,110,Clostridium acetobutylicum,1488.0,,,-854.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
13,155,156,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,109,Dietzia maris,37915.0,,,-770.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
14,154,155,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,108,Fucophilus fucoidanolyticus,177412.0,,,-748.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
15,153,154,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,107,Calyptogena magnifica,6591.0,,,-511.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
16,152,153,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,106,Nitrosomonas eutropha,916.0,,,-430.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
17,151,152,,Reduced,14,preferred_term,10011762.0,10.0,cystic fibrosis,105,Lyrodus pedicellatus,457830.0,,,-385.0,Phylogenetic microarray,Faeces,Human,17.0,17,Healthy control,Fluorescence intensity,Fluorescence intensity
18,2956,3229,,Reduced,179,preferred_term,10036556.0,32.0,pregnancy,790,Anaerococcus vaginalis,33037.0,,,-355.4,16S rRNA sequencing,Vaginal fluid,Human,469.0,411,Non-pregnant women,Fold change,
19,2957,3230,,Reduced,179,preferred_term,10036556.0,32.0,pregnancy,465,Peptoniphilus,162289.0,,,-137.1,16S rRNA sequencing,Vaginal fluid,Human,469.0,411,Non-pregnant women,Fold change,
20,2958,3231,,Reduced,179,preferred_term,10036556.0,32.0,pregnancy,27,Streptococcus anginosus,1328.0,,,-102.4,16S rRNA sequencing,Vaginal fluid,Human,469.0,411,Non-pregnant women,Fold change,
